"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"CSS Locators","585","CSS Locators: Tag","","Wed Jan 14 21:17:30 UTC 2026","passed","Wed Jan 14 21:17:31 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagLocator"
"XPath Locators","531","XPath: Ancestors of the current node","","Wed Jan 14 21:17:28 UTC 2026","passed","Wed Jan 14 21:17:29 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathAncestorOfTheCurrentNodeLocator"
"Base Locators","542","Base Locators: Partial Link Text","","Wed Jan 14 21:17:17 UTC 2026","passed","Wed Jan 14 21:17:18 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","partialLinkTextLocator"
"","523","shadowTest()","","Wed Jan 14 21:17:55 UTC 2026","passed","Wed Jan 14 21:17:55 UTC 2026","","ui.ShadowDOMTest","ui.ShadowDOMTest","shadowTest"
"","8529","loadingImagesExplicitWaitTest()","","Wed Jan 14 21:18:16 UTC 2026","passed","Wed Jan 14 21:18:25 UTC 2026","","ui.WaitTests","ui.WaitTests","loadingImagesExplicitWaitTest"
"XPath Locators","538","XPath: Normalize-space","","Wed Jan 14 21:17:34 UTC 2026","passed","Wed Jan 14 21:17:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathNormalizeSpaceLocator"
"","596","openHomePageTest()","","Wed Jan 14 21:17:53 UTC 2026","passed","Wed Jan 14 21:17:54 UTC 2026","","ui.Selen","ui.Selen","openHomePageTest"
"CSS Locators","579","CSS Locators: Prefix","","Wed Jan 14 21:17:26 UTC 2026","passed","Wed Jan 14 21:17:27 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssPrefixLocator"
"CSS Locators","560","CSS Locators: Exact Match","","Wed Jan 14 21:17:18 UTC 2026","passed","Wed Jan 14 21:17:19 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssExactMatchLocator"
"","1576","Пагинация","","Wed Jan 14 21:17:38 UTC 2026","passed","Wed Jan 14 21:17:40 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","secondPagePaginationTests"
"","685","dismissLaunchConfirmTest()","","Wed Jan 14 21:17:00 UTC 2026","passed","Wed Jan 14 21:17:00 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchConfirmTest"
"CSS Locators","576","CSS Locators: Name","","Wed Jan 14 21:17:36 UTC 2026","passed","Wed Jan 14 21:17:37 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssNameLocator"
"","817","(Введение текста в поле Text input(SendKeys)","","Wed Jan 14 21:17:15 UTC 2026","passed","Wed Jan 14 21:17:16 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","textInputTest"
"","3683","Отправка формы. Поле текста 100 предложений","","Wed Jan 14 21:18:44 UTC 2026","passed","Wed Jan 14 21:18:47 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInput100Test"
"CSS Locators","569","CSS Locators: Tag + Class","","Wed Jan 14 21:17:33 UTC 2026","passed","Wed Jan 14 21:17:34 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndClassLocator"
"","895","Отправка формы. Поле текста со знаками","","Wed Jan 14 21:18:50 UTC 2026","passed","Wed Jan 14 21:18:51 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textInputSignsTest"
"","1221","infiniteScrollTest()","","Wed Jan 14 21:17:09 UTC 2026","passed","Wed Jan 14 21:17:10 UTC 2026","","ui.InfiniteScrollTests","ui.InfiniteScrollTests","infiniteScrollTest"
"","836","Отправка формы с включенным чек-боксом Checked","","Wed Jan 14 21:18:58 UTC 2026","passed","Wed Jan 14 21:18:59 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkedIsEnabledTest"
"","642","acceptLaunchConfirmTest()","","Wed Jan 14 21:17:00 UTC 2026","passed","Wed Jan 14 21:17:01 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchConfirmTest"
"","1535","signInTest()","","Wed Jan 14 21:17:52 UTC 2026","broken","Wed Jan 14 21:17:53 UTC 2026","","ui.Selen","ui.Selen","signInTest"
